id,name,brand,category,tagline,description,basePrice,sizes,sizeUpcharges
00148-hvt,00148-HVT 헤비 라운드 티셔츠 (면14수),프린트스타,데일리 웨어,"7.4온스의 압도적인 중량감, 프린트스타 최상위 헤비웨이트 면티",가장 두꺼운 14수 오리지널 카드사를 활용해 비침 우려가 전혀 없으며 오래 세탁해도 변형이 거의 없는 프리미엄 티셔츠입니다.,12800,"XS, S, M, L, XL, 2XL, 3XL","2XL:1500, 3XL:2000"
00149-hvl,00149-HVL 헤비 라운드 시보리 긴팔 티셔츠 (면14수),프린트스타,데일리 웨어,7.4온스의 초고밀도 원단과 시보리 마감 프리미엄 긴팔 티셔츠,최상급 14수 코튼사로 묵직한 중량감을 느낄 수 있으며 손목 리브 마감으로 완성도를 높인 프리미엄 라운드 롱슬리브입니다.,16800,"XS, S, M, L, XL, 2XL, 3XL","2XL:2000, 3XL:2500"
00183-nsc,00183-NSC 헤비웨이트 맨투맨 (9.7oz),프린트스타,데일리 웨어,9.7온스 기모 안감의 탄탄한 스탠다드 핏 크루넥 스웨트셔츠,도톰한 기모 짜임 구조로 방한성과 부드러운 촉감을 강조한 데일리 크루넥 맨투맨입니다.,24800,"XS, S, M, L, XL, 2XL, 3XL, 4XL","2XL:2000, 3XL:3000, 4XL:4000"
00188-nnh,00188-NNH 헤비웨이트 풀오버 후드티 (9.7oz),프린트스타,굿즈/라이프스타일,9.7온스 고밀도 기모 원단의 오리지널 풀오버 후드티,바디 전체를 따뜻하게 감싸주는 헤비웨이트 스웨트 원단과 이중 후드로 각이 잡히는 오리지널 후디입니다.,36800,"XS, S, M, L, XL, 2XL, 3XL, 4XL","2XL:2500, 3XL:3500, 4XL:4500"
00189-nnz,00189-NNZ 헤비웨이트 집업 후드티 (9.7oz),프린트스타,굿즈/라이프스타일,"아우터로 활용성 극대화, 9.7온스 기모 집업 후드",견고한 전면 메탈 지퍼 슬라이더와 양측 핸드 워머 포켓이 접목되어 레이어드 자켓으로 활용도가 높습니다.,41800,"XS, S, M, L, XL, 2XL, 3XL, 4XL","2XL:2500, 3XL:3500, 4XL:4500"
00207-nah,00207-NAH 스탠다드 후드 윈드브레이커,프린트스타,굿즈/라이프스타일,생활 방수와 바람막이 기능의 캐주얼 아우터 후드 자켓,내구성 높은 나일론/폴리 태피터 소재로 찬바람을 완벽히 차단하고 가벼운 빗방울을 튕겨내는 아웃도어 쉘입니다.,29800,"S, M, L, XL, 2XL",2XL:2000
00208-naz,00208-NAZ 스탠다드 집업 스탠드 카라 자켓,프린트스타,굿즈/라이프스타일,단정하고 활동성이 용이한 집업 바람막이,하이넥 구조의 스탠드 카라로 체온 유지가 쉬우며 트레이닝 및 작업용 유니폼으로 활용하기 편리합니다.,32800,"S, M, L, XL, 2XL",2XL:2000
00210-nac,00210-NAC 스탠다드 윈드브레이커 코치 자켓,프린트스타,굿즈/라이프스타일,"레트로 스트릿 룩의 대명사, 밑단 조절형 코치 자켓",소매 리브 처리와 밑단 드로코드가 설계되어 다채로운 연출이 가능하며 힙한 자수 프린팅 마킹에 제격입니다.,34800,"S, M, L, XL, 2XL",2XL:2000
00216-mlh,00216-MLH 라이트 풀오버 후드티 (8.4oz),프린트스타,굿즈/라이프스타일,8.4온스의 가볍고 활동하기 편리한 사계절 풀오버 후디,얇지만 탄탄한 타올 쮸리 원단(기모 없음)으로 가을/겨울뿐 아니라 봄철 아우터 이너로도 편안합니다.,26800,"110, 130, 150, WM, S, M, L, XL, 2XL, 3XL","2XL:2000, 3XL:3000"
00217-mlz,00217-MLZ 라이트 집업 후드티 (8.4oz),프린트스타,굿즈/라이프스타일,간편한 탈착이 매력적인 8.4온스 슬림 핏 집업 후디,스포티하고 단정한 핏의 실루엣으로 데일리 가볍게 아우터 레이어링 자켓으로 걸쳐 입기 최적입니다.,31800,"110, 130, 150, WM, S, M, L, XL, 2XL, 3XL","2XL:2000, 3XL:3000"
00218-mlp,00218-MLP 라이트 스웨트 조거 팬츠 (8.4oz),프린트스타,데일리 웨어,발목을 감싸주어 단정한 8.4온스 스웨트 조거 팬츠,허리 고무줄 스트링과 탄력 있는 발목 시보리로 스포티함과 홈웨어를 넘나드는 편리한 착용감을 줍니다.,21800,"110, 130, 150, WM, S, M, L, XL, 2XL",2XL:2000
00219-mlc,00219-MLC 라이트 크루넥 맨투맨 (8.4oz),프린트스타,데일리 웨어,부담 없이 편안하게 즐기는 8.4온스 크루넥 스웨트 셔츠,적당한 두께감의 쮸리 원단(100% 면)으로 사계절 내내 단체복 유니폼으로 즐길 수 있는 미니멀 맨투맨입니다.,18800,"110, 130, 150, WM, S, M, L, XL, 2XL, 3XL","2XL:1500, 3XL:2500"
00220-mhp,00220-MHP 헤비웨이트 크루넥 스웨트 셔츠 (9.7oz),프린트스타,데일리 웨어,9.7온스의 보온성 높은 기모 안감 볼드 크루넥,중후한 핏의 고중량 원단으로 실루엣이 탄탄하며 추운 겨울철 이너로 완벽합니다.,23800,"XS, S, M, L, XL, 2XL, 3XL, 4XL","2XL:2000, 3XL:3000, 4XL:4000"
00238-rfj,00238-RFJ 리버서블 양면 플리스 자켓,프린트스타,굿즈/라이프스타일,플리스와 바람막이를 양면으로 착용하는 리버서블 아우터,"한 면은 부드러운 보아 플리스 원단, 반대편은 바람막이 방풍 타포린 원단으로 제작되어 날씨에 맞춰 두 가지 연출이 가능한 헤비 방한 아우터입니다.",39800,"S, M, L, XL, 2XL",2XL:3000
00271-bfc,00271-BFC 스탠다드 맨투맨 스웨트 (T/C),프린트스타,데일리 웨어,T/C 혼방으로 세탁 후 변형과 주름을 방지한 스탠다드 크루넥,면과 폴리에스터 혼방 기모 스웨트 원단으로 보풀이 적고 내구성이 대단히 뛰어난 단체 맨투맨입니다.,20800,"XS, S, M, L, XL, 2XL, 3XL, 4XL","2XL:2000, 3XL:3000, 4XL:4000"
00272-bfh,00272-BFH 스탠다드 풀오버 후드티 (T/C),프린트스타,굿즈/라이프스타일,합리적인 가격의 스탠다드 핏 무지 후드티셔츠,부드러운 기모 스웨트 원단으로 제작되어 가격 대비 높은 보온성과 핏 완성도를 보여줍니다.,28800,"XS, S, M, L, XL, 2XL, 3XL, 4XL","2XL:2500, 3XL:3500, 4XL:4500"
00273-bfz,00273-BFZ 스탠다드 집업 후드티 (T/C),프린트스타,굿즈/라이프스타일,"캐주얼 단체 아우터 1순위, 기모 집업 후드 자켓",실용적인 지퍼 여밈 구조로 아침저녁 간편하게 레이어드하기 좋은 대중적인 기모 조크 후드집업입니다.,33800,"XS, S, M, L, XL, 2XL, 3XL, 4XL","2XL:2500, 3XL:3500, 4XL:4500"
00300-act,00300-ACT 드라이 메쉬 라운드 반팔 티셔츠,글리머,액티브 웨어,"흡습 속건의 강자, 4.4온스 액티브 드라이 티셔츠","폴리에스터 100% 매쉬 편조직 원단으로 스포츠, 레저 및 격렬한 땀 배출 활동에 압도적인 건조 속도를 선사합니다. UV 자외선 차단 90% 이상 기능이 포함되어 야외 활동용 단체복으로 최고입니다.",6800,"100, 110, 120, 130, 140, 150, SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00302-adp,00302-ADP 드라이 메쉬 칼라 폴로셔츠,글리머,액티브 웨어,"단정함과 스포티함의 조화, 칼라형 드라이 반팔 폴로","속건성이 우수한 메쉬 소재 카라 셔츠로 매장 유니폼, 쿨비즈 사내복, 골프 및 테니스웨어로 두루 각광받습니다.",9600,"120, 130, 140, 150, SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00304-alt,00304-ALT 드라이 메쉬 라운드 긴팔 티셔츠,글리머,액티브 웨어,사계절 자외선으로부터 피부를 보호하는 드라이 긴팔 티셔츠,"UPF50+ 자외선 차단 설계와 고속 건조 메쉬 원단을 접목해 러닝, 등산, 라이딩 시 필수 레이어로 추천됩니다.",8800,"140, 150, SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00313-abn,00313-ABN 드라이 버튼다운 폴로셔츠 (반팔),글리머,액티브 웨어,목 깃이 무너지지 않는 세련된 버튼다운 쿨 드라이 셔츠,버튼으로 칼라 끝깃을 고정하는 디자인으로 비즈니스 캐주얼 및 고품격 점포 서빙 유니폼으로 훌륭합니다.,10800,"SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00321-acr,00321-ACR 드라이 버튼다운 시보리 폴로셔츠,글리머,액티브 웨어,깃 버튼다운과 소매 리브 처리가 적용된 디테일러 폴로셔츠,소매단이 단정하게 조여져 핏이 깨끗하고 스포츠 시 단정한 움직임을 유지시켜 줍니다.,11200,"SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00325-acp,00325-ACP 드라이 메쉬 포켓 폴로셔츠 (반팔),글리머,액티브 웨어,왼가슴 포켓 장착으로 펜 및 무전기 수납이 편한 쿨비즈 셔츠,포켓 수납 편의성을 극대화한 스포츠 드라이 카라티셔츠로 배달 및 필드 야외 작업에 요긴합니다.,10200,"SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00330-avp,00330-AVP 드라이 V넥 반팔 폴로셔츠,글리머,액티브 웨어,목선이 슬림하고 샤프해 보이는 V넥 드라이 칼라티,답답한 단추 칼라 대신 V라인 트임 넥라인을 사용해 넥 가이드 착용 및 쾌적한 핏을 유도합니다.,9800,"SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00335-alp,00335-ALP 드라이 메쉬 포켓 긴팔 폴로셔츠,글리머,액티브 웨어,"사계절 유니폼 정석, 포켓 롱슬리브 드라이 칼라셔츠","소매부터 가슴 수납, 속건 드라이 기술까지 유니폼의 모든 자질을 갖춘 만능 롱 카라티셔츠입니다.",12000,"SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00338-amz,00338-AMZ 드라이 하프지퍼 스포티 폴로셔츠,글리머,액티브 웨어,하프 아노락 지퍼 칼라로 입고 벗기 편한 액티브 티셔츠,"목 앞부분의 지퍼 슬라이더로 통풍 조절이 빠르며 테니스, 등산 등 동호회웨어로 인기가 높습니다.",11600,"SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00339-ayp,00339-AYP 드라이 레이어드 칼라 반팔 폴로셔츠,글리머,액티브 웨어,목 카라와 소매 끝단 배색 포인트를 준 레이어드 폴로셔츠,이너웨어를 덧입은 듯한 감각적인 시각 레이어드 마감으로 캐주얼하고 젊은 인상을 부여합니다.,10600,"SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00346-afc,00346-AFC 드라이 후드티 (쮸리),글리머,액티브 웨어,기능성 흡습 드라이 원사의 라이트 핏 캐주얼 후드티,면과 폴리 기능성 조합으로 무겁지 않고 세탁 건조가 빨라 피트니스 웨어로 강추됩니다.,17800,"SS, S, M, L, LL, 3L, 4L, 5L","3L:1000, 4L:1500, 5L:2000"
00347-afh,00347-AFH 드라이 풀오버 후드티 (쮸리),글리머,액티브 웨어,속건 드라이 원사로 설계된 캐주얼 집업 후디,아웃도어 활동이나 운동 중간에 가볍게 지퍼로 온도 조절을 할 수 있는 쮸리 후드집업입니다.,19800,"SS, S, M, L, LL, 3L, 4L, 5L","3L:1000, 4L:1500, 5L:2000"
00348-afz,00348-AFZ 드라이 스탠드 칼라 집업 자켓,글리머,액티브 웨어,깃을 세운 깔끔한 트랙 탑 타입의 드라이 집업 트레이너,운동선수 단체복 및 코치 자켓으로 최적이며 형태 복원력이 좋아 단체 바람막이 대용으로 유용합니다.,16800,"SS, S, M, L, LL, 3L, 4L, 5L","3L:1000, 4L:1500, 5L:2000"
00350-ait,00350-AIT 드라이 인터록 초경량 반팔 티셔츠,글리머,액티브 웨어,"3.5온스의 깃털 같은 무게, 부드러운 양면 인터록 드라이티",양면 모두 매끄럽게 편직(인터록)되어 피부 마찰이 없고 신축성이 매우 뛰어난 고속 속건 티셔츠입니다.,6400,"120, 130, 140, 150, SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00353-ain,00353-AIN 드라이 인터록 V넥 반팔 티셔츠,글리머,액티브 웨어,목선이 편안한 샤프 V넥 초경량 인터록 드라이티,가볍고 매끄러운 양면 조밀 원사에 고급스러운 V라인 커팅을 가미한 피트니스 셔츠입니다.,6400,"SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00731-cck,00731-CCK 코튼 캔버스 워크웨어 코치 자켓,프린트스타,굿즈/라이프스타일,도톰한 코튼 캔버스 원단으로 워크자켓 감성을 극대화한 아우터,내구성 높은 코튼 캔버스 마감으로 레트로 워크 마니아들이 만족하는 가을/겨울 캐주얼 자켓입니다.,36800,"S, M, L, XL, 2XL",2XL:3000
00760-enb,00760-ENB 드라이 집업 트레이닝 트랙 자켓,글리머,액티브 웨어,사이드 배색 라인이 매력적인 에어로쿨 집업 자켓,스포티한 세로 배색 밴딩 처리로 팔 라인이 길고 날렵해 보이는 에너제틱 바람막이 자켓입니다.,18800,"SS, S, M, L, LL, 3L, 4L, 5L","3L:1000, 4L:1500, 5L:2000"
00762-enn,00762-ENN 드라이 메쉬 스포티 반바지 (트레이닝 숏팬츠),글리머,액티브 웨어,운동 시 쾌적함을 극대화해 주는 드라이 메쉬 반바지,"허리 고무줄과 실용적인 깊이의 양측 포켓, 그리고 숨쉬는 메쉬 소재를 적용한 고속 건조 반바지입니다.",12800,"SS, S, M, L, LL, 3L, 4L, 5L","3L:500, 4L:1000, 5L:1500"
00778-tcc,00778-TCC 코튼 캔버스 심플 데일리 에코백,프린트스타,굿즈/라이프스타일,친환경 코튼 캔버스 원단으로 튼튼한 다용도 에코백,브랜드 판촉 및 어깨끈이 튼튼해 데일리 책가방으로 사랑받는 베이직 에코백입니다.,4800,FREE,
00780-twt,00780-TWT 코튼 캔버스 캐주얼 토트백,프린트스타,굿즈/라이프스타일,밑단 가이드가 넓어 수납이 넉넉한 캔버스 토트백,도시락 수납이나 가벼운 피크닉 소품 수납에 요긴하며 직조감이 예쁜 프리미엄 토트백입니다.,5800,FREE,
63000,63000 아시아 핏 베이직 티셔츠 (면30수),길단,데일리 웨어,150 g/m² (4.5 oz per sq yd),"100% ring spun cotton preshrunk jersey knit | Fiber content varies by color, see color list for details | Single needle 2cm collar | Taped neck and shoulders | Double needle sleeve and bottom hems | TearAway label | Quarterturned to eliminate center crease | Sizes: XS~3XL | 12 colors",6000,"XS, S, M, L, XL, 2XL, 3XL","2XL:1000, 3XL:1500"
76000,76000 아시아 핏 프리미엄 티셔츠 (면24수),길단,데일리 웨어,180g/m/two.numerator (5.3 oz per sq yd),"100% ring spun cotton preshrunk jersey knit | Fiber content varies by color, | Taped neck and shoulders | Satin label | Double needle sleeve and bottom hems | Single needle 2cm collar | Quarterturned to eliminate center crease | Sizes: XS~5XL | 32 colors",6000,"XS, S, M, L, XL, 2XL, 3XL, 4XL, 5XL","2XL:1000, 3XL:1500, 4XL:2000, 5XL:2500"
76000l,76000L 여성용 프리미엄 티셔츠,길단,데일리 웨어,180g/m/two.numerator (5.3 oz per sq yd),"100% ring spun cotton preshrunk jersey knit | Fiber content varies by color, see color list for details | Taped neck and shoulders | Satin label | Double needle sleeve and bottom hems | Semi/f_itted contoured silhouette with side seam | Single needle 1.3cm collar | Sizes: LS~LXL | 8 colors | 180g/m² (5.3 oz per sq yd) | 100% ring spun cotton preshrunk jersey knit | Fiber content varies by color, see color list for details | Taped neck and shoulders | Satin label | Double needle sleeve and bottom hems | Single needle 1.5cm collar | Sideseamed | CPSIA tracking label compliant | Sizes: XS~XL | 12 colors",6000,"S, M, L, XL, 2XL",2XL:1000
76000b,76000B 아동용 프리미엄 티셔츠,길단,데일리 웨어,180g/m/two.numerator (5.3 oz per sq yd),"100% ring spun cotton preshrunk jersey knit | Fiber content varies by color, see color list for details | Taped neck and shoulders | Satin label | Double needle sleeve and bottom hems | Semi/f_itted contoured silhouette with side seam | Single needle 1.3cm collar | Sizes: LS~LXL | 8 colors | 180g/m² (5.3 oz per sq yd) | 100% ring spun cotton preshrunk jersey knit | Fiber content varies by color, see color list for details | Taped neck and shoulders | Satin label | Double needle sleeve and bottom hems | Single needle 1.5cm collar | Sideseamed | CPSIA tracking label compliant | Sizes: XS~XL | 12 colors",6000,"S, M, L, XL, 2XL",2XL:1000
76500,76500 프리미엄 나그랑 티셔츠,길단,데일리 웨어,180g/m² (5.3 oz per sq yd),"100% ring spun cotton preshrunk jersey knit | Fiber content varies by color, see color list for details | Satin label | Double needle sleeve and bottom hems | Quarterturned to eliminate center crease | Contrast color 2cm seamed collar | Raglan short sleeves | Sizes: S~2XL | 4 color combinations",6000,"S, M, L, XL, 2XL",2XL:1000
ha00,HA00 해머 헤비웨이트 티셔츠 (면20수),길단,데일리 웨어,203g/m² (6 oz per sq yd),"100% Ring Spun Cotton | Fiber content varies by color, see color list for details | High stitch density for smoother printing surface | Classic ﬁt | 2.3 cm rib collar | Taped neck and shoulders | 2.0 cm double needle sleeve and bottom hems | TearAway label | Quarterturned to eliminate center crease | Sizes: S~3XL | 12 colors",6000,"S, M, L, XL, 2XL, 3XL","2XL:1000, 3XL:1500"
858a0,858A0 더블 피케 카라티셔츠 (폴로),길단,데일리 웨어,220g/m2 (6.5 oz per sq yd),"100% cotton | Soft, heavyweight ring spun cotton double piqué fabric | Flat knit rib collar | 3 colormatched pearlized buttons | Rolled forward shoulder for an even more comfortable /f_it | Rib /f_inished sleeves | Double needle bottom hem | Sizes: S~2XL | 4 colors",12000,"S, M, L, XL, 2XL",2XL:1500
88000,88000 헤비블렌드 크루넥 맨투맨 (8.4oz),길단,데일리 웨어,285g/m/two.numerator (8.4 oz per sq yd),50% cotton / 50% polyester preshrunk /f_leece knit | Air jet yarns = softer feel and reduced pilling | Satin label | Sideseamed | 1 x 1 rib with spandex | Double needle stitching at waistband and cuﬀs | Quarterturned to eliminate center crease | Sizes: XS~2XL | 5 colors,18000,"XS, S, M, L, XL, 2XL",2XL:2000
88500,88500 헤비블렌드 풀오버 후드티 (8.4oz),길단,데일리 웨어,285g/m/two.numerator (8.4 oz per sq yd),50% cotton / 50% polyester preshrunk /f_leece knit | Air jet yarns = softer feel and reduced pilling | Satin label | Sideseamed | Double needle stitching at waistband and cuﬀs | 1 x 1 rib with spandex | Quarterturned to eliminate center crease | Doublelined hood with colormatched drawcord | Pouch pocket | Sizes: XS~2XL | 5 colors,24000,"XS, S, M, L, XL, 2XL",2XL:2000
88600,88600 헤비블렌드 집업 후드티 (8.4oz),길단,데일리 웨어,285g/m/two.numerator (8.4 oz per sq yd),50% cotton / 50% polyester preshrunk /f_leece knit | Air jet yarns = softer feel and reduced pilling | Satin label | Sideseamed | Double needle stitching at waistband and cuﬀs | 1 x 1 rib with spandex | Quarterturned to eliminate center crease | Unlined hood with colormatched drawcord | Metal zipper | Overlapped fabric across zipper allows full | Pouch pockets | Sizes: XS~2XL | 5 colors,24000,"XS, S, M, L, XL, 2XL",2XL:2000
2000,2000 울트라 코튼 티셔츠 (면18수),길단,데일리 웨어,200g/ɝ (6.0 oz per sq yd),"100% cotton preshrunk jersey knit | Fiber content varies by color, | Seamless double needle 2 cm collar | Taped neck and shoulders | Double needle sleeve and bottom hems | TearAway label | Quarterturned to eliminate centre crease | Sizes: S~5XL | 33 colors",6000,"S, M, L, XL, 2XL, 3XL, 4XL, 5XL","2XL:1000, 3XL:1500, 4XL:2000, 5XL:2500"
2300,2300 울트라 코튼 포켓 티셔츠,길단,데일리 웨어,200g/ɝ (6.0 oz per sq yd),"100% cotton preshrunk jersey knit | Preshrunk jersey knit | Seamless doubleneedle 7/8"" collar | Taped neck and shoulders | Satin label | Singleneedle left chest pocket | Doubleneedle pocket, sleeve and bottom hems | Quarterturned to eliminate center crease | SIZE: S~2XL | 2 colors",6000,"S, M, L, XL, 2XL",2XL:1000
2400,2400 울트라 코튼 긴팔 티셔츠,길단,데일리 웨어,200g/ɝ (6.0 oz per sq yd),100% cotton preshrunk jersey knit | Quarterturned to eliminate center crease | Seamless double needle 7/8” collar | Taped neck and shoulders | Rib cuﬀs | Double needle bottom hem | Sizes: S~3XL | 11 colors,9000,"S, M, L, XL, 2XL, 3XL","2XL:1500, 3XL:2000"
2000t,2000T 울트라 코튼 톨(Tall) 티셔츠,길단,데일리 웨어,200g/ɝ (6.0 oz per sq yd 18/1),"100% cotton | Classic heavyweight fabric 7/8"" rib collar | Taped neck and shoulders | Doubleneedle sleeve and bottom hems | Sizes: LT~2XLT | 2 colors",6000,"S, M, L, XL, 2XL",2XL:1000
5200,5200 헤비 코튼 나시 민소매 (탱크탑),길단,데일리 웨어,180g/ɝ (5.3 oz per sq yd 20/1),100% cotton | Classic midweight fabric | Doubleneedle bottom hem | Sizes: S~2XL | 2 colors,6000,"S, M, L, XL, 2XL",2XL:1000
5100,5100 헤비 코튼 티셔츠,길단,데일리 웨어,180g/m/two.numerator (5.3 oz per sq yd),100% cotton preshrunk jersey knit | Seamless non topstitched 2 cm collar | Taped neck and shoulders | Tearaway label for easy relabelling | Double needle sleeve and bottom hems | Quarterturned to eliminate centre crease | Sizes: S~3XL | 2 colors,6000,"S, M, L, XL, 2XL, 3XL","2XL:1000, 3XL:1500"
42000,42000 드라이블렌드 기능성 스포츠 티셔츠,길단,액티브 웨어,150g/m² (4.5 oz per sq yd),100% polyester | AquaFX™ | Back neck tape | Double needle sleeve and bottom hems | Tearaway label҃઺ | Sizes: S~3XL | 8 colors,6000,"S, M, L, XL, 2XL, 3XL","2XL:1000, 3XL:1500"
8000,8000 드라이블렌드 티셔츠,길단,데일리 웨어,࢚࢝,180g/m² (5.3 oz per sq yd) | 50% cotton / 50% polyester | Dry Blend technology ( | Taped neck and shoulders | Double needle sleeve and bottom hems | Tearaway label҃઺ | Sizes: S~XL | 3 colors,6000,"S, M, L, XL",
67000,67000 소프트스타일 CVC 티셔츠,길단,데일리 웨어,150g/m² (4.5 oz per sq yd),60% combed ring spun cotton / 40% polyester | High stitch density for smoother printing | Modernclassic Fit | TearAway label | Sizes: S~3XL | 4 colors,6000,"S, M, L, XL, 2XL, 3XL","2XL:1000, 3XL:1500"
sf000,SF000 소프트스타일 플리스 크루넥 맨투맨,길단,데일리 웨어,Hɝ	8.4 oz per sq yd),"80% Ring Spun Cotton, 20% Polyester | 1x1 rib with spandex cuﬀs and bottom band for enhanced stretch and recovery | Dropped shoulder | Classic /f_it, seamless body | Highperforming recycled tearaway label | Sizes: S3XL | 4 colors",18000,S,
sf500,SF500 소프트스타일 플리스 풀오버 후드티,길단,데일리 웨어,Hɝ	8.4 oz per sq yd),"80% Ring Spun Cotton, 20% Polyester | 2piece color matched jersey fabric lined hood | 1x1 rib with spandex cuﬀs and bottom band for enhanced stretch and recovery | Dropped shoulder | pouch pocket | Classic /f_it, seamless body | Highperforming recycled tearaway label | Sizes: S3XL | 5 colors",24000,S,
sf600,SF600 소프트스타일 플리스 집업 후드티,길단,데일리 웨어,Hɝ	8.4 oz per sq yd),"80% Ring Spun Cotton, 20% Polyester | 2piece color matched jersey fabric lined hood | 1x1 rib with spandex cuﬀs and bottom band for enhanced stretch and recovery | Dropped shoulder | pouch pocket | YKK metal zipper | Classic /f_it, seamless body | Highperforming recycled tearaway label | Sizes: S3XL | 2 colors",24000,S,
12000,12000 드라이블렌드 맨투맨,길단,데일리 웨어,9.3 oz per sq yd,50% cotton / 50% polyester preshrunk /f_leece knit | DryBlend technology delivers | moisturewicking properties | Air jet yarn = softer feel and reduced pilling | Tearaway label҃઺ | Double needle stitching | Waistband cuﬀs | 1 x 1 athletic rib with spandex | Quarterturned to eliminate center crease | Sizes: S3XL | 8 colors,18000,S,
